train accuracy, validate accuracy, test accuracy, batch size, hidden size, dropout, weight decay, learning rate, patience, highest epoch reached
90.59%,57.48%,54.81%,15,64,0.4,0.00021,9e-05,70,251
97.33%,58.32%,53.52%,16,64,0.3,0.00022,0.0001,71,209
89.60%,57.94%,54.63%,16,64,0.4,0.00022,8e-05,69,267
92.72%,59.53%,56.11%,15,63,0.4,0.00022,9e-05,75,221
79.07%,58.13%,52.96%,15,63,0.5,0.00022,0.0001,80,326
89.95%,59.53%,53.70%,16,63,0.4,0.00022,8e-05,74,355
96.75%,57.38%,52.41%,14,62,0.3,0.00023,9e-05,78,230
89.76%,57.57%,53.89%,14,63,0.4,0.00023,9e-05,73,253
83.84%,58.22%,55.74%,14,64,0.5,0.00021,0.0001,75,274
97.36%,58.41%,53.70%,14,64,0.3,0.00021,0.0001,80,257
92.48%,58.32%,55.37%,14,62,0.4,0.00021,0.0001,79,265
99.44%,57.29%,53.89%,15,64,0.2,0.00019,9e-05,76,337
96.53%,56.17%,51.11%,14,63,0.3,0.00019,0.0001,72,184
99.23%,57.29%,55.74%,15,63,0.2,0.0002,9e-05,74,333
97.52%,58.69%,52.96%,16,66,0.3,0.00021,0.0001,78,227
98.13%,58.88%,55.93%,15,67,0.3,0.00022,9e-05,76,230
99.57%,59.25%,53.89%,15,68,0.2,0.00023,9e-05,77,250
99.39%,58.22%,52.22%,14,68,0.2,0.00022,0.0001,71,366
93.04%,59.53%,53.33%,15,66,0.4,0.00024,0.0001,73,360
98.93%,59.35%,52.59%,17,66,0.2,0.00022,9e-05,79,161
91.95%,58.50%,53.15%,14,68,0.4,0.00023,9e-05,71,332
99.76%,56.36%,52.41%,16,65,0.1,0.00022,8e-05,71,159
96.99%,59.07%,52.04%,16,66,0.3,0.00023,0.0001,76,196
97.07%,58.60%,53.70%,16,63,0.3,0.00022,0.00012,72,192
97.60%,58.97%,52.78%,16,64,0.3,0.0002,0.00014,67,248
99.57%,59.81%,52.59%,16,61,0.2,0.00022,0.00011,71,266
99.15%,58.32%,51.85%,18,63,0.2,0.00023,0.00011,67,272
97.57%,58.13%,55.00%,16,63,0.3,0.00022,0.00012,71,214
80.69%,58.69%,55.56%,17,63,0.5,0.00021,0.00013,69,352
90.61%,58.13%,54.44%,16,65,0.4,0.00022,0.00012,64,324
68.29%,57.57%,55.37%,15,62,0.6,0.00019,0.00014,70,225
44.45%,54.11%,48.52%,16,62,0.7,0.00022,0.00012,66,275
81.25%,59.63%,56.85%,15,62,0.5,0.00023,0.00012,72,195
67.44%,57.01%,54.63%,14,60,0.6,0.00024,0.00012,76,311
66.59%,56.54%,52.22%,13,63,0.6,0.00023,0.0001,73,287
68.67%,57.66%,54.07%,15,64,0.6,0.00025,0.00012,71,371
78.77%,58.41%,53.70%,16,60,0.5,0.00024,0.00011,70,239
81.57%,58.32%,51.11%,15,60,0.5,0.00023,0.00011,73,418
48.35%,54.86%,52.22%,13,62,0.7,0.00023,0.00011,67,324
79.95%,57.48%,54.26%,16,61,0.5,0.00022,0.0001,76,347
46.48%,51.78%,47.59%,14,63,0.7,0.00021,0.00011,76,284
69.39%,57.29%,55.19%,14,60,0.6,0.00024,0.00011,73,419
51.07%,54.49%,51.67%,13,63,0.7,0.00022,0.00014,75,273
66.83%,57.10%,52.59%,14,61,0.6,0.00021,0.00011,76,348
49.55%,54.49%,52.96%,14,64,0.7,0.00021,0.00012,70,481
82.40%,59.25%,53.70%,14,60,0.5,0.00025,0.00013,73,258
46.67%,55.89%,51.67%,14,64,0.7,0.00021,0.0001,67,344
66.48%,57.01%,53.15%,16,62,0.6,0.00025,0.00013,69,302
77.63%,57.29%,54.07%,17,63,0.5,0.00021,0.00012,68,230
93.84%,58.50%,57.59%,15,63,0.4,0.00025,0.00013,75,297
43.44%,52.24%,49.26%,15,61,0.7,0.00022,0.00012,71,237
91.81%,59.07%,53.70%,13,62,0.4,0.00022,0.00011,72,168
91.25%,57.94%,54.44%,15,64,0.4,0.00022,0.00014,67,210
44.83%,52.43%,46.85%,17,63,0.7,0.00023,0.0001,76,379
64.45%,56.54%,53.33%,16,63,0.6,0.00024,0.00013,70,255
50.05%,54.11%,52.04%,15,64,0.7,0.00024,0.00012,72,329
47.09%,53.27%,51.85%,15,61,0.7,0.00025,0.00012,72,387
48.99%,53.64%,51.67%,17,64,0.7,0.00024,0.00014,77,344
65.44%,56.26%,51.30%,14,60,0.6,0.00024,0.00013,67,247
69.31%,58.97%,52.41%,13,64,0.6,0.00023,0.00013,77,339
66.00%,57.66%,53.52%,14,61,0.6,0.00023,0.0001,71,279
66.11%,56.73%,55.19%,14,61,0.6,0.00024,0.00012,67,374
92.00%,58.60%,54.81%,13,63,0.4,0.00025,0.00011,72,369
82.03%,58.04%,54.26%,14,61,0.5,0.00024,0.0001,75,509
69.79%,59.53%,55.37%,13,64,0.6,0.00022,0.00014,73,310
48.75%,53.64%,52.59%,16,63,0.7,0.00025,0.00014,71,306
81.95%,57.38%,52.96%,14,60,0.5,0.00023,0.00013,75,311
90.53%,57.01%,53.33%,14,61,0.4,0.00023,0.0001,69,234
